Command: ./build/bin/llama-bench -m "/home/cipherxzc/Projects/llama.cpp-bitnet/models/BitNet/3B-I2S.gguf"  -p 128 -p 256 -p 512  -t 1 -t 2 -t 4 -t 8 -ngl 0 -n 0 -r 5 
----------------------------------------
| model                          |       size |     params | backend    | threads |          test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | ------: | ------------: | -------------------: |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       1 |         pp128 |         32.92 ± 0.11 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       1 |         pp256 |         27.54 ± 0.13 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       1 |         pp512 |         25.57 ± 0.12 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       2 |         pp128 |         51.99 ± 0.76 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       2 |         pp256 |         48.83 ± 0.21 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       2 |         pp512 |         46.50 ± 0.29 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       4 |         pp128 |         96.82 ± 1.29 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       4 |         pp256 |         93.07 ± 1.54 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       4 |         pp512 |         87.54 ± 0.54 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       8 |         pp128 |        114.29 ± 2.51 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       8 |         pp256 |        112.41 ± 1.99 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       8 |         pp512 |        111.65 ± 1.65 |

build: 30f701bb (4509)
