Command: ./build/bin/llama-bench -m "/home/cipherxzc/Projects/llama.cpp-bitnet/models/BitNet/3B-I2T.gguf"  -p 128 -p 256 -p 512  -t 1 -t 2 -t 4 -t 8 -ngl 0 -n 0 -r 5 
----------------------------------------
| model                          |       size |     params | backend    | threads |          test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | ------: | ------------: | -------------------: |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       1 |         pp128 |         33.26 ± 0.16 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       1 |         pp256 |         26.75 ± 0.17 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       1 |         pp512 |         25.20 ± 0.04 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       2 |         pp128 |         50.23 ± 0.36 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       2 |         pp256 |         48.69 ± 0.29 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       2 |         pp512 |         45.40 ± 0.26 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       4 |         pp128 |         92.62 ± 0.91 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       4 |         pp256 |         90.81 ± 0.58 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       4 |         pp512 |         85.17 ± 0.62 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       8 |         pp128 |        107.21 ± 2.52 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       8 |         pp256 |        107.53 ± 1.89 |
| bitnet 3B unknown, may not work | 873.65 MiB |     3.32 B | CPU        |       8 |         pp512 |        108.64 ± 1.28 |

build: 30f701bb (4509)
