Command: ./build/bin/llama-bench -m "/home/cipherxzc/Projects/llama.cpp/models/BitNet/3B-Q2K.gguf"  -p 128 -p 256 -p 512  -t 1 -t 2 -t 4 -t 8 -ngl 0 -n 0 -r 5 
----------------------------------------
| model                          |       size |     params | backend    | threads |          test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | ------: | ------------: | -------------------: |
| bitnet 3B Q2_K - Medium        |   1.79 GiB |     3.32 B | CPU        |       1 |         pp128 |         13.69 ± 0.09 |
| bitnet 3B Q2_K - Medium        |   1.79 GiB |     3.32 B | CPU        |       1 |         pp256 |         13.48 ± 0.03 |
| bitnet 3B Q2_K - Medium        |   1.79 GiB |     3.32 B | CPU        |       1 |         pp512 |         12.99 ± 0.03 |
| bitnet 3B Q2_K - Medium        |   1.79 GiB |     3.32 B | CPU        |       2 |         pp128 |         26.91 ± 0.03 |
| bitnet 3B Q2_K - Medium        |   1.79 GiB |     3.32 B | CPU        |       2 |         pp256 |         26.56 ± 0.08 |
| bitnet 3B Q2_K - Medium        |   1.79 GiB |     3.32 B | CPU        |       2 |         pp512 |         25.47 ± 0.07 |
| bitnet 3B Q2_K - Medium        |   1.79 GiB |     3.32 B | CPU        |       4 |         pp128 |         52.64 ± 0.20 |
| bitnet 3B Q2_K - Medium        |   1.79 GiB |     3.32 B | CPU        |       4 |         pp256 |         51.35 ± 0.30 |
| bitnet 3B Q2_K - Medium        |   1.79 GiB |     3.32 B | CPU        |       4 |         pp512 |         49.05 ± 0.23 |
| bitnet 3B Q2_K - Medium        |   1.79 GiB |     3.32 B | CPU        |       8 |         pp128 |         59.97 ± 0.74 |
| bitnet 3B Q2_K - Medium        |   1.79 GiB |     3.32 B | CPU        |       8 |         pp256 |         64.10 ± 0.52 |
| bitnet 3B Q2_K - Medium        |   1.79 GiB |     3.32 B | CPU        |       8 |         pp512 |         65.66 ± 0.68 |

build: d3f1f0ac (4997)
