Command: ./build/bin/llama-bench -m "/home/cipherxzc/Projects/T-MAC/3rdparty/llama.cpp/models/BitNet/3B.gguf"  -p 128 -p 256 -p 512  -t 1 -t 2 -t 4 -t 8 -ngl 0 -n 0 -r 5 
----------------------------------------
[23:44:19] /home/cipherxzc/Projects/T-MAC/3rdparty/llama.cpp/ggml/src/ggml-tmac.cpp:122: ggml_tmac_init
| model                          |       size |     params | backend    | threads |          test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | ------: | ------------: | -------------------: |
| bitnet 3B INT_N                | 965.21 MiB |     3.32 B | CPU        |       1 |         pp128 |         19.90 ± 0.09 |
| bitnet 3B INT_N                | 965.21 MiB |     3.32 B | CPU        |       1 |         pp256 |         19.49 ± 0.05 |
| bitnet 3B INT_N                | 965.21 MiB |     3.32 B | CPU        |       1 |         pp512 |         18.54 ± 0.06 |
| bitnet 3B INT_N                | 965.21 MiB |     3.32 B | CPU        |       2 |         pp128 |         39.37 ± 0.04 |
| bitnet 3B INT_N                | 965.21 MiB |     3.32 B | CPU        |       2 |         pp256 |         38.65 ± 0.07 |
| bitnet 3B INT_N                | 965.21 MiB |     3.32 B | CPU        |       2 |         pp512 |         36.53 ± 0.05 |
| bitnet 3B INT_N                | 965.21 MiB |     3.32 B | CPU        |       4 |         pp128 |         76.60 ± 0.23 |
| bitnet 3B INT_N                | 965.21 MiB |     3.32 B | CPU        |       4 |         pp256 |         75.22 ± 0.35 |
| bitnet 3B INT_N                | 965.21 MiB |     3.32 B | CPU        |       4 |         pp512 |         71.80 ± 0.20 |
| bitnet 3B INT_N                | 965.21 MiB |     3.32 B | CPU        |       8 |         pp128 |        130.18 ± 3.47 |
| bitnet 3B INT_N                | 965.21 MiB |     3.32 B | CPU        |       8 |         pp256 |        119.62 ± 1.07 |
| bitnet 3B INT_N                | 965.21 MiB |     3.32 B | CPU        |       8 |         pp512 |        111.79 ± 0.73 |

build: b6902812 (3914)
